Alpha,R2,Diagnosis,Valid_Moves,Tail_Count,Bulan,Total_Rows
2.887847776497665,0.758657333619521,Thin Tailed (Aman),374528,204993,2021_10_Oktober,12123709
3.1959129671344364,0.7692204005480165,Thin Tailed (Aman),2833783,1716701,2021_11_November,119072431
2.9205791850874476,0.7341758903604133,Thin Tailed (Aman),2842159,1729509,2021_12_Desember,45950349
3.0753394510907057,0.7588176402821815,Thin Tailed (Aman),2526862,1290195,2022_01_Januari,22488993
3.0436260895968803,0.788664367324243,Thin Tailed (Aman),3342075,1313352,2022_02_Februari,39601777
3.0609450507491993,0.7753309552938558,Thin Tailed (Aman),551544,354887,2022_03_Maret,26837642
2.6490082107240056,0.7990007358722927,Thin Tailed (Aman),115104,75807,2022_04_April,1048571
2.979153334053847,0.7807273670657824,Thin Tailed (Aman),2779346,1331587,2022_05_Mei,31075618
3.0481187748813254,0.7949994780280072,Thin Tailed (Aman),918931,404627,2022_06_Juni,12246261
