Bulan,Users_Analyzed,Median_Entropy,Median_Normalized_Entropy,Mean_Normalized_Entropy,Median_Top1_Share,Median_Locations,Routine_Pct,Explorer_Pct,Top1_Routine_Pct
2021_10_Oktober,63166,0.1732052067491771,0.22228483068568797,0.33627079801132703,0.9591836734693877,2.0,55.84016717854542,15.103061773739038,93.0168128423519
2021_11_November,348346,0.47875333041028967,0.464715854683002,0.4237943871778294,0.8484848484848485,2.0,43.82022471910113,19.881956445602935,86.4361870094676
2021_12_Desember,269308,0.6250831389160905,0.5805177217976484,0.49984711779622804,0.7674418604651163,3.0,33.167599922765014,23.00934246290493,84.01384288621206
2022_01_Januari,153220,0.660826894068274,0.5732968023711296,0.49780847975753384,0.7564102564102564,3.0,32.867119175042426,20.78057694817909,81.30531262237307
2022_02_Februari,166928,0.5335643280776858,0.4892607018529752,0.4438522650311448,0.8215637243439544,2.0,40.87750407361258,19.838493242595607,85.11334227930605
2022_03_Maret,96536,0.0,0.0,0.26918072633942497,1.0,1.0,65.58382365128035,14.225781055771941,94.78432916217784
2022_04_April,6386,0.48499053578171875,0.40532463687595455,0.39610621695552845,0.8553772436872529,2.0,46.91512683996242,18.13341684935797,86.37644848105231
2022_05_Mei,159842,0.2145591551764051,0.2572337024555733,0.34793036840101255,0.9487179487179487,2.0,53.89634764329776,15.761814792107206,87.03845046983896
2022_06_Juni,82616,0.17884491271684755,0.22853814395352803,0.3427112009353803,0.9574468085106383,2.0,55.08497143410478,16.18330589716278,90.0225137987799
