Bulan,Grid_Cells,Hotspot_Cells,Threshold_Count,Hotspot_Point_Share,Prev_Jaccard,Retained_From_Prev_Pct,New_Hotspot_Pct
2021_10_Oktober,2474,50,50740.1,34.9118079294051,,,
2021_11_November,2640,53,475727.8199999981,36.10387361621935,0.6885245901639344,84.0,20.754716981132077
2021_12_Desember,2448,49,155953.0999999998,45.99935247499426,0.3076923076923077,45.28301886792453,51.02040816326531
2022_01_Januari,2483,50,82774.52000000003,35.735164819088595,0.5967741935483871,75.51020408163265,26.0
2022_02_Februari,2527,51,152516.72000000003,38.27850742242001,0.4852941176470588,66.0,35.294117647058826
2022_03_Maret,2302,47,92777.80000000003,48.53666726756397,0.4411764705882353,58.82352941176471,36.17021276595745
2022_04_April,2005,41,4522.880000000001,48.02383434216663,0.4915254237288136,61.702127659574465,29.268292682926827
2022_05_Mei,2544,51,114634.89999999967,48.81129449071814,0.3939393939393939,63.41463414634146,49.01960784313725
2022_06_Juni,2373,48,41455.47999999998,45.57476767806925,0.7068965517241379,80.3921568627451,14.583333333333334
