Bulan,Total_Rows,Users_GPS,Matched_Users,Median_Radius_km,Mean_Radius_km,male_n,male_median_radius,female_n,female_median_radius
2021_10_Oktober,12123709,398142,66213,0.1528345298512564,1.4548386122653953,33670,0.23451589031120545,7899,0.09006444414505703
2021_11_November,119072431,1226198,221390,1.0635149792439553,2.364142165320344,105482,1.1506652392905012,25845,0.9841740083500162
2021_12_Desember,45950349,1288665,233854,1.4919025835618362,2.8803689471131806,109031,1.6403523367507908,28627,1.5037437531899618
2022_01_Januari,22488993,924855,171534,1.1746139745658335,2.5185425303678057,80525,1.3224119655075146,18970,1.042875529393476
2022_02_Februari,39601777,956296,175154,0.7291482749778658,2.172394013847662,72569,0.9255394376645416,19110,0.4133642948764624
2022_03_Maret,26837642,457977,66440,2.367053466969065e-05,1.3734618130104161,19850,0.0,8626,0.0
2022_04_April,1048571,121764,6932,0.09188735356041558,1.9171725203313323,2239,0.0007469953804097504,799,0.0
2022_05_Mei,31075618,1271675,165924,0.0011283791128587199,1.8871648259808629,66950,0.0005715318818157395,16069,0.0005611464573964285
2022_06_Juni,12246261,403758,72058,0.18796754223920964,1.6388888990870225,29786,0.18321576257113986,7791,0.06251659618423736
