Bulan,Total_Points,Users,Valid_Moves,Median_Dist_km,Mean_Dist_km,Median_Speed_kmh,Mean_Speed_kmh,Median_Rg_km,Mean_Rg_km,Users_Rg
2021_10_Oktober,12123709,398142,396864,0.9399254752162349,3.4473113685754697,0.8990827425865447,15.29291744519133,1.0519517301154906,1.7143045693307704,164599
2021_11_November,119072431,1226198,2940428,1.5578244050376275,4.205414223481817,0.415249903777396,13.332774741571932,1.4677155777722066,2.463009320902328,685186
2021_12_Desember,45950349,1288665,2933730,1.6946772583105978,5.098031406960481,0.40963976717776274,13.830331985679189,1.7689451016772082,3.021777896429358,651608
2022_01_Januari,22488991,924855,2728441,0.8105923850458586,3.4468271936813997,1.0533806098505114,13.025221019167429,1.7085451941339018,2.908262967895907,396312
2022_02_Februari,39601774,956296,3797990,0.5213240296332661,2.3128489627965476,8.661147864084494,17.37408494518001,1.4714977097664987,2.4300277862941826,433385
2022_03_Maret,26837642,457977,584732,1.8653795104969508,4.894223776439009,1.3758805664315978,12.327175043837771,0.1321663377360406,1.5273013199443268,221268
2022_04_April,1048571,121764,124315,1.9936472533383374,5.0987614474591645,0.7901056399192243,5.788691035962116,1.6532183977320958,2.117871180646247,21033
2022_05_Mei,31075611,1271674,2956957,0.7374255017526069,3.0025327588743873,5.581073976495794,19.274463520089746,1.6750272412330265,2.58525918513409,484597
2022_06_Juni,12246261,403758,966707,0.6068677160703514,2.438066089966901,7.2997733340965345,23.07982644672771,1.1354306615014496,1.850692818521441,193299
